Eph bin centers    value    Error 
 7.317100e+04   0.000000e+00   0.000000e+00
 7.336900e+04   0.000000e+00   0.000000e+00
 7.356700e+04   0.000000e+00   0.000000e+00
 7.376500e+04   0.000000e+00   0.000000e+00
 7.396300e+04   0.000000e+00   0.000000e+00
 7.416100e+04   0.000000e+00   0.000000e+00
 7.435900e+04   0.000000e+00   0.000000e+00
 7.455700e+04   0.000000e+00   0.000000e+00
 7.475500e+04   0.000000e+00   0.000000e+00
 7.495300e+04   0.000000e+00   0.000000e+00
 7.515100e+04   0.000000e+00   0.000000e+00
 7.534900e+04   0.000000e+00   0.000000e+00
 7.554700e+04   0.000000e+00   0.000000e+00
 7.574500e+04   0.000000e+00   0.000000e+00
 7.594300e+04   0.000000e+00   0.000000e+00
 7.614100e+04   0.000000e+00   0.000000e+00
 7.633900e+04   0.000000e+00   0.000000e+00
 7.653700e+04   0.000000e+00   0.000000e+00
 7.673500e+04   0.000000e+00   0.000000e+00
 7.693300e+04   0.000000e+00   0.000000e+00
 7.713100e+04   0.000000e+00   0.000000e+00
 7.732900e+04   0.000000e+00   0.000000e+00
 7.752700e+04   0.000000e+00   0.000000e+00
 7.772500e+04   0.000000e+00   0.000000e+00
 7.792300e+04   0.000000e+00   0.000000e+00
 7.812100e+04   0.000000e+00   0.000000e+00
 7.831900e+04   0.000000e+00   0.000000e+00
 7.851700e+04   0.000000e+00   0.000000e+00
 7.871500e+04   0.000000e+00   0.000000e+00
 7.891300e+04   0.000000e+00   0.000000e+00
 7.911100e+04   0.000000e+00   0.000000e+00
 7.930900e+04   0.000000e+00   0.000000e+00
 7.950700e+04   0.000000e+00   0.000000e+00
 7.970500e+04   0.000000e+00   0.000000e+00
 7.990300e+04   0.000000e+00   0.000000e+00
 8.010100e+04   0.000000e+00   0.000000e+00
 8.029900e+04   0.000000e+00   0.000000e+00
 8.049700e+04   0.000000e+00   0.000000e+00
 8.069500e+04   0.000000e+00   0.000000e+00
 8.089300e+04   0.000000e+00   0.000000e+00
 8.109100e+04   0.000000e+00   0.000000e+00
 8.128900e+04   0.000000e+00   0.000000e+00
 8.148700e+04   0.000000e+00   0.000000e+00
 8.168500e+04   0.000000e+00   0.000000e+00
 8.188300e+04   0.000000e+00   0.000000e+00
 8.208100e+04   0.000000e+00   0.000000e+00
 8.227900e+04   0.000000e+00   0.000000e+00
 8.247700e+04   0.000000e+00   0.000000e+00
 8.267500e+04   0.000000e+00   0.000000e+00
 8.287300e+04   0.000000e+00   0.000000e+00
