cos_theta,num,num_err,ana,diff,rel_diff_percent
9.999983430000000117e-01,4.214985245238742791e+06,1.957718368103498142e+04,4.288461289189771749e+06,-7.347604395102895796e+04,-1.713342828492942838e+00
9.999983449999999552e-01,4.221230556842679158e+06,2.843186759253828859e+04,4.299446606951681897e+06,-7.821605010900273919e+04,-1.819212034928795463e+00
9.999983470000000096e-01,4.235768332793460228e+06,2.797791403579243342e+04,4.310472676692522131e+06,-7.470434389906190336e+04,-1.733089373307046488e+00
9.999983489999999531e-01,4.186334114922155160e+06,2.013916429587365565e+04,4.321539695639964193e+06,-1.352055807178090326e+05,-3.128643729784988725e+00
9.999983510000000075e-01,4.262309233780709095e+06,1.985452986132853403e+04,4.332647867131051607e+06,-7.033863335034251213e+04,-1.623456036756539600e+00
9.999983529999999510e-01,4.239945739536075853e+06,1.981171651941015080e+04,4.343797390822582878e+06,-1.038516512865070254e+05,-2.390803298190680160e+00
9.999983550000000054e-01,4.310860306232313626e+06,1.984120135662824759e+04,4.354988471914678812e+06,-4.412816568236518651e+04,-1.013278587691970545e+00
9.999983569999999489e-01,4.231296914914490655e+06,1.741556397983212446e+04,4.366221314390342683e+06,-1.349243994758520275e+05,-3.090186909013602712e+00
9.999983590000000033e-01,4.288200495635604486e+06,1.905460000582838620e+04,4.377496124728856608e+06,-8.929562909325212240e+04,-2.039879112372329661e+00
9.999983609999999468e-01,4.328281603747896850e+06,1.812887408339510512e+04,4.388813108173782937e+06,-6.053150442588608712e+04,-1.379222649357098929e+00
9.999983630000000012e-01,4.335343750367560424e+06,2.609586827899434138e+04,4.400172475622754544e+06,-6.482872525519412011e+04,-1.473322366665159810e+00
9.999983649999999447e-01,4.331995850731459446e+06,2.319049034011070398e+04,4.411574433605296537e+06,-7.957858287383709103e+04,-1.803859009328844687e+00
9.999983669999999991e-01,4.362281810805160552e+06,2.045420578098710394e+04,4.423019196875752881e+06,-6.073738607059232891e+04,-1.373210998349155609e+00
9.999983690000000536e-01,4.315364251209873706e+06,2.245123160436203761e+04,4.434506975815955549e+06,-1.191427246060818434e+05,-2.686718619585876766e+00
9.999983709999999970e-01,4.379392476664016023e+06,2.147391883422229148e+04,4.446037982730413787e+06,-6.664550606639776379e+04,-1.498986430733757036e+00
9.999983730000000515e-01,4.384909676833009347e+06,2.070638592701695597e+04,4.457612435076154768e+06,-7.270275824314542115e+04,-1.630979796966206097e+00
