th3_cms_lab bin centers    value    Error 
 1.531310e-03   0.000000e+00   0.000000e+00
 1.531930e-03   0.000000e+00   0.000000e+00
 1.532550e-03   0.000000e+00   0.000000e+00
 1.533170e-03   0.000000e+00   0.000000e+00
 1.533790e-03   0.000000e+00   0.000000e+00
 1.534410e-03   0.000000e+00   0.000000e+00
 1.535030e-03   0.000000e+00   0.000000e+00
 1.535650e-03   0.000000e+00   0.000000e+00
 1.536270e-03   0.000000e+00   0.000000e+00
 1.536890e-03   0.000000e+00   0.000000e+00
 1.537510e-03   0.000000e+00   0.000000e+00
 1.538130e-03   0.000000e+00   0.000000e+00
 1.538750e-03   0.000000e+00   0.000000e+00
 1.539370e-03   0.000000e+00   0.000000e+00
 1.539990e-03   0.000000e+00   0.000000e+00
 1.540610e-03   0.000000e+00   0.000000e+00
 1.541230e-03   0.000000e+00   0.000000e+00
 1.541850e-03   0.000000e+00   0.000000e+00
 1.542470e-03   0.000000e+00   0.000000e+00
 1.543090e-03   0.000000e+00   0.000000e+00
 1.543710e-03   0.000000e+00   0.000000e+00
 1.544330e-03   0.000000e+00   0.000000e+00
 1.544950e-03   0.000000e+00   0.000000e+00
 1.545570e-03   0.000000e+00   0.000000e+00
 1.546190e-03   0.000000e+00   0.000000e+00
 1.546810e-03   0.000000e+00   0.000000e+00
 1.547430e-03   0.000000e+00   0.000000e+00
 1.548050e-03   0.000000e+00   0.000000e+00
 1.548670e-03   0.000000e+00   0.000000e+00
 1.549290e-03   0.000000e+00   0.000000e+00
 1.549910e-03   0.000000e+00   0.000000e+00
 1.550530e-03   0.000000e+00   0.000000e+00
 1.551150e-03   0.000000e+00   0.000000e+00
 1.551770e-03   0.000000e+00   0.000000e+00
 1.552390e-03   0.000000e+00   0.000000e+00
 1.553010e-03   0.000000e+00   0.000000e+00
 1.553630e-03   0.000000e+00   0.000000e+00
 1.554250e-03   0.000000e+00   0.000000e+00
 1.554870e-03   0.000000e+00   0.000000e+00
 1.555490e-03   0.000000e+00   0.000000e+00
 1.556110e-03   0.000000e+00   0.000000e+00
 1.556730e-03   0.000000e+00   0.000000e+00
 1.557350e-03   0.000000e+00   0.000000e+00
 1.557970e-03   0.000000e+00   0.000000e+00
 1.558590e-03   0.000000e+00   0.000000e+00
 1.559210e-03   0.000000e+00   0.000000e+00
 1.559830e-03   0.000000e+00   0.000000e+00
 1.560450e-03   0.000000e+00   0.000000e+00
 1.561070e-03   0.000000e+00   0.000000e+00
 1.561690e-03   0.000000e+00   0.000000e+00
 1.562310e-03   0.000000e+00   0.000000e+00
 1.562930e-03   0.000000e+00   0.000000e+00
 1.563550e-03   0.000000e+00   0.000000e+00
 1.564170e-03   0.000000e+00   0.000000e+00
 1.564790e-03   0.000000e+00   0.000000e+00
 1.565410e-03   0.000000e+00   0.000000e+00
 1.566030e-03   0.000000e+00   0.000000e+00
 1.566650e-03   0.000000e+00   0.000000e+00
 1.567270e-03   0.000000e+00   0.000000e+00
 1.567890e-03   0.000000e+00   0.000000e+00
 1.568510e-03   0.000000e+00   0.000000e+00
 1.569130e-03   0.000000e+00   0.000000e+00
 1.569750e-03   0.000000e+00   0.000000e+00
 1.570370e-03   0.000000e+00   0.000000e+00
 1.570990e-03   0.000000e+00   0.000000e+00
 1.571610e-03   0.000000e+00   0.000000e+00
 1.572230e-03   0.000000e+00   0.000000e+00
 1.572850e-03   0.000000e+00   0.000000e+00
 1.573470e-03   0.000000e+00   0.000000e+00
 1.574090e-03   0.000000e+00   0.000000e+00
 1.574710e-03   0.000000e+00   0.000000e+00
 1.575330e-03   0.000000e+00   0.000000e+00
 1.575950e-03   0.000000e+00   0.000000e+00
 1.576570e-03   0.000000e+00   0.000000e+00
 1.577190e-03   0.000000e+00   0.000000e+00
 1.577810e-03   0.000000e+00   0.000000e+00
 1.578430e-03   0.000000e+00   0.000000e+00
 1.579050e-03   0.000000e+00   0.000000e+00
 1.579670e-03   0.000000e+00   0.000000e+00
 1.580290e-03   0.000000e+00   0.000000e+00
 1.580910e-03   0.000000e+00   0.000000e+00
 1.581530e-03   0.000000e+00   0.000000e+00
 1.582150e-03   0.000000e+00   0.000000e+00
 1.582770e-03   0.000000e+00   0.000000e+00
 1.583390e-03   0.000000e+00   0.000000e+00
 1.584010e-03   0.000000e+00   0.000000e+00
 1.584630e-03   0.000000e+00   0.000000e+00
 1.585250e-03   0.000000e+00   0.000000e+00
 1.585870e-03   0.000000e+00   0.000000e+00
 1.586490e-03   0.000000e+00   0.000000e+00
 1.587110e-03   0.000000e+00   0.000000e+00
 1.587730e-03   0.000000e+00   0.000000e+00
 1.588350e-03   0.000000e+00   0.000000e+00
 1.588970e-03   0.000000e+00   0.000000e+00
 1.589590e-03   0.000000e+00   0.000000e+00
 1.590210e-03   0.000000e+00   0.000000e+00
 1.590830e-03   0.000000e+00   0.000000e+00
 1.591450e-03   0.000000e+00   0.000000e+00
 1.592070e-03   0.000000e+00   0.000000e+00
 1.592690e-03   0.000000e+00   0.000000e+00
 1.593310e-03   0.000000e+00   0.000000e+00
 1.593930e-03   0.000000e+00   0.000000e+00
 1.594550e-03   0.000000e+00   0.000000e+00
 1.595170e-03   0.000000e+00   0.000000e+00
 1.595790e-03   0.000000e+00   0.000000e+00
 1.596410e-03   0.000000e+00   0.000000e+00
 1.597030e-03   0.000000e+00   0.000000e+00
 1.597650e-03   0.000000e+00   0.000000e+00
 1.598270e-03   0.000000e+00   0.000000e+00
 1.598890e-03   0.000000e+00   0.000000e+00
 1.599510e-03   0.000000e+00   0.000000e+00
 1.600130e-03   0.000000e+00   0.000000e+00
 1.600750e-03   0.000000e+00   0.000000e+00
 1.601370e-03   0.000000e+00   0.000000e+00
 1.601990e-03   0.000000e+00   0.000000e+00
 1.602610e-03   0.000000e+00   0.000000e+00
 1.603230e-03   0.000000e+00   0.000000e+00
 1.603850e-03   0.000000e+00   0.000000e+00
 1.604470e-03   0.000000e+00   0.000000e+00
 1.605090e-03   0.000000e+00   0.000000e+00
 1.605710e-03   0.000000e+00   0.000000e+00
 1.606330e-03   0.000000e+00   0.000000e+00
 1.606950e-03   0.000000e+00   0.000000e+00
 1.607570e-03   0.000000e+00   0.000000e+00
 1.608190e-03   0.000000e+00   0.000000e+00
 1.608810e-03   0.000000e+00   0.000000e+00
 1.609430e-03   0.000000e+00   0.000000e+00
 1.610050e-03   0.000000e+00   0.000000e+00
 1.610670e-03   0.000000e+00   0.000000e+00
 1.611290e-03   0.000000e+00   0.000000e+00
 1.611910e-03   0.000000e+00   0.000000e+00
 1.612530e-03   0.000000e+00   0.000000e+00
 1.613150e-03   0.000000e+00   0.000000e+00
 1.613770e-03   0.000000e+00   0.000000e+00
 1.614390e-03   0.000000e+00   0.000000e+00
 1.615010e-03   0.000000e+00   0.000000e+00
 1.615630e-03   0.000000e+00   0.000000e+00
 1.616250e-03   0.000000e+00   0.000000e+00
 1.616870e-03   0.000000e+00   0.000000e+00
 1.617490e-03   0.000000e+00   0.000000e+00
 1.618110e-03   0.000000e+00   0.000000e+00
 1.618730e-03   0.000000e+00   0.000000e+00
