Q2_GeV2,num,num_err,ana,diff,rel_diff_percent
1.444999999999999930e-02,1.181463401757164320e+03,1.802650687806962138e+00,1.183173783484135129e+03,-1.710381726970808813e+00,-1.445587918567790842e-01
1.454999999999999870e-02,1.166142150395370209e+03,1.955430080670212067e+00,1.166538718684804508e+03,-3.965682894342990039e-01,-3.399529591965910758e-02
1.464999999999999983e-02,1.148440932706486365e+03,1.176511875927236384e+00,1.150246237171502798e+03,-1.805304465016433824e+00,-1.569493910674068238e-01
1.474999999999999922e-02,1.135517103859232066e+03,2.364565513354703885e+00,1.134287038161461169e+03,1.230065697770896804e+00,1.084439525787653374e-01
1.484999999999999862e-02,1.121193375548505173e+03,1.774015018233096264e+00,1.118652133816325431e+03,2.541241732179742030e+00,2.271699713753011496e-01
1.494999999999999975e-02,1.097280326812214071e+03,2.173369471910717721e+00,1.103332836702182476e+03,-6.052509889968405332e+00,-5.485660979744891863e-01
1.504999999999999914e-02,1.089348857643873998e+03,1.347068158278099670e+00,1.088320747831639665e+03,1.028109812234333731e+00,9.446753765217931476e-02
1.514999999999999854e-02,1.072742131297115748e+03,1.298796519318457410e+00,1.073607745257292208e+03,-8.656139601764607505e-01,-8.062665009640132552e-02
1.524999999999999967e-02,1.060650388494343815e+03,1.486059738485591142e+00,1.059185973187723448e+03,1.464415306620367119e+00,1.382585630560293766e-01
1.534999999999999906e-02,1.047394544422560102e+03,1.828423613880646004e+00,1.045047831598866424e+03,2.346712823693678729e+00,2.245555421232093840e-01
1.544999999999999846e-02,1.030738005081939718e+03,2.059264496864900540e+00,1.031185966315132418e+03,-4.479612331927000923e-01,-4.344136245312344574e-02
1.554999999999999959e-02,1.017614065135901910e+03,1.884074223676611259e+00,1.017593259536200890e+03,2.080559970102058287e-02,2.044588985436417757e-03
1.565000000000000072e-02,1.006793010603727907e+03,1.703744716499368872e+00,1.004262820786729776e+03,2.530189816998131391e+00,2.519449853790270977e-01
1.575000000000000011e-02,9.915624896748305446e+02,1.461099740573572836e+00,9.911879782675573551e+02,3.745114072731894339e-01,3.778409499354271756e-02
1.584999999999999951e-02,9.757541537458525909e+02,2.393973346321094375e+00,9.783622705881804222e+02,-2.608116842327831364e+00,-2.665798672673528880e-01
1.594999999999999890e-02,9.659358833075019675e+02,1.415973926711347586e+00,9.657794388614127001e+02,1.564444460892673305e-01,1.619877580679337375e-02
1.604999999999999830e-02,9.531978524799596926e+02,1.598425674123466367e+00,9.534334191422215099e+02,-2.355666622618173278e-01,-2.470719585996370218e-02
1.614999999999999769e-02,9.425263356653617848e+02,1.401445483270542747e+00,9.413183351937204861e+02,1.208000471641298645e+00,1.283307066777463479e-01
1.625000000000000056e-02,9.293319352281670263e+02,1.702204802416393159e+00,9.294284915642545002e+02,-9.655633608747393737e-02,-1.038878590056636735e-02
1.634999999999999995e-02,9.148834320217591767e+02,1.600266309368558293e+00,9.177583669603794760e+02,-2.874934938620299363e+00,-3.132561948895218329e-01
1.644999999999999934e-02,9.055324129296596993e+02,1.365657125443854092e+00,9.063026079013712888e+02,-7.701949717115894600e-01,-8.498209814214792435e-02
1.654999999999999874e-02,8.955083932998772980e+02,1.689479901816633989e+00,8.950560226416989735e+02,4.523706581783244474e-01,5.054104399445100843e-02
1.664999999999999813e-02,8.833450856416135366e+02,1.651915842815060209e+00,8.840135753485956229e+02,-6.684897069820863180e-01,-7.561984630365872762e-02
1.674999999999999753e-02,8.741654075663560661e+02,1.663497044120807677e+00,8.731703805225688484e+02,9.950270437872177354e-01,1.139556569923639573e-01
1.685000000000000039e-02,8.601610876309935065e+02,8.427032532473209825e-01,8.625216976493569518e+02,-2.360610018363445306e+00,-2.736870301114569526e-01
