th5_x_cms bin centers    value    Error 
 9.624000e-03   2.123087e-03   8.951688e-04
 9.672000e-03   1.140870e-03   4.281546e-04
 9.720000e-03   2.918141e-03   9.883144e-04
 9.768000e-03   1.406989e-03   6.752468e-04
 9.816000e-03   2.690213e-03   1.075382e-03
 9.864000e-03   2.935607e-03   9.270317e-04
 9.912000e-03   1.771390e-03   5.692375e-04
 9.960000e-03   1.835325e-03   1.081364e-03
 1.000800e-02   2.797900e-03   6.464785e-04
 1.005600e-02   3.146036e-03   8.582265e-04
 1.010400e-02   8.586878e-03   3.720967e-03
 1.015200e-02   1.028966e-03   4.529864e-04
 1.020000e-02   3.016225e-03   8.738338e-04
 1.024800e-02   1.239596e-03   4.458121e-04
 1.029600e-02   1.879344e-03   8.614765e-04
 1.034400e-02   1.804114e-03   5.807887e-04
 1.039200e-02   6.250604e-03   3.106482e-03
 1.044000e-02   2.561298e-03   1.197088e-03
 1.048800e-02   1.834582e-03   6.758244e-04
 1.053600e-02   5.953167e-03   1.591073e-03
 1.058400e-02   1.978846e-03   6.018900e-04
 1.063200e-02   4.768452e-03   2.367136e-03
 1.068000e-02   2.303375e-03   6.490978e-04
 1.072800e-02   8.443043e-03   3.468828e-03
 1.077600e-02   3.828817e-03   1.840806e-03
 1.082400e-02   2.726425e-03   1.121046e-03
 1.087200e-02   1.622872e-03   5.031336e-04
 1.092000e-02   1.783629e-03   7.557229e-04
 1.096800e-02   4.865007e-04   2.259872e-04
 1.101600e-02   5.803987e-03   2.732121e-03
 1.106400e-02   1.893812e-03   6.689636e-04
 1.111200e-02   3.146755e-03   9.583020e-04
 1.116000e-02   8.187536e-04   3.935399e-04
 1.120800e-02   5.211086e-03   2.167331e-03
 1.125600e-02   5.878166e-03   1.555201e-03
 1.130400e-02   1.388722e-03   4.929418e-04
 1.135200e-02   2.220015e-03   1.137280e-03
 1.140000e-02   3.297096e-03   1.327108e-03
 1.144800e-02   2.450578e-03   7.284621e-04
 1.149600e-02   2.313172e-03   6.762416e-04
 1.154400e-02   4.228108e-03   1.492218e-03
 1.159200e-02   4.010472e-03   1.214551e-03
 1.164000e-02   2.228767e-03   1.033402e-03
 1.168800e-02   1.885213e-03   8.313231e-04
 1.173600e-02   3.224192e-03   9.546723e-04
 1.178400e-02   2.398325e-03   6.266500e-04
 1.183200e-02   3.370639e-03   1.576529e-03
 1.188000e-02   2.111309e-03   8.827960e-04
 1.192800e-02   1.917701e-03   1.067828e-03
 1.197600e-02   4.416620e-03   1.555417e-03
 inf   1.857569e-02   6.991126e-04
