Eph_cms bin centers    value    Error 
 3.351620e+04   0.000000e+00   0.000000e+00
 3.361580e+04   0.000000e+00   0.000000e+00
 3.371540e+04   0.000000e+00   0.000000e+00
 3.381500e+04   0.000000e+00   0.000000e+00
 3.391460e+04   0.000000e+00   0.000000e+00
 3.401420e+04   0.000000e+00   0.000000e+00
 3.411380e+04   0.000000e+00   0.000000e+00
 3.421340e+04   0.000000e+00   0.000000e+00
 3.431300e+04   0.000000e+00   0.000000e+00
 3.441260e+04   0.000000e+00   0.000000e+00
 3.451220e+04   0.000000e+00   0.000000e+00
 3.461180e+04   0.000000e+00   0.000000e+00
 3.471140e+04   0.000000e+00   0.000000e+00
 3.481100e+04   0.000000e+00   0.000000e+00
 3.491060e+04   0.000000e+00   0.000000e+00
 3.501020e+04   0.000000e+00   0.000000e+00
 3.510980e+04   0.000000e+00   0.000000e+00
 3.520940e+04   0.000000e+00   0.000000e+00
 3.530900e+04   0.000000e+00   0.000000e+00
 3.540860e+04   0.000000e+00   0.000000e+00
 3.550820e+04   0.000000e+00   0.000000e+00
 3.560780e+04   0.000000e+00   0.000000e+00
 3.570740e+04   0.000000e+00   0.000000e+00
 3.580700e+04   0.000000e+00   0.000000e+00
 3.590660e+04   0.000000e+00   0.000000e+00
 3.600620e+04   0.000000e+00   0.000000e+00
 3.610580e+04   0.000000e+00   0.000000e+00
 3.620540e+04   0.000000e+00   0.000000e+00
 3.630500e+04   0.000000e+00   0.000000e+00
 3.640460e+04   0.000000e+00   0.000000e+00
 3.650420e+04   0.000000e+00   0.000000e+00
 3.660380e+04   0.000000e+00   0.000000e+00
 3.670340e+04   0.000000e+00   0.000000e+00
 3.680300e+04   0.000000e+00   0.000000e+00
 3.690260e+04   0.000000e+00   0.000000e+00
 3.700220e+04   0.000000e+00   0.000000e+00
 3.710180e+04   0.000000e+00   0.000000e+00
 3.720140e+04   0.000000e+00   0.000000e+00
 3.730100e+04   0.000000e+00   0.000000e+00
 3.740060e+04   0.000000e+00   0.000000e+00
 3.750020e+04   0.000000e+00   0.000000e+00
 3.759980e+04   0.000000e+00   0.000000e+00
 3.769940e+04   0.000000e+00   0.000000e+00
 3.779900e+04   0.000000e+00   0.000000e+00
 3.789860e+04   0.000000e+00   0.000000e+00
 3.799820e+04   0.000000e+00   0.000000e+00
 3.809780e+04   0.000000e+00   0.000000e+00
 3.819740e+04   0.000000e+00   0.000000e+00
 3.829700e+04   0.000000e+00   0.000000e+00
 3.839660e+04   0.000000e+00   0.000000e+00
 3.849620e+04   0.000000e+00   0.000000e+00
 3.859580e+04   0.000000e+00   0.000000e+00
 3.869540e+04   0.000000e+00   0.000000e+00
 3.879500e+04   0.000000e+00   0.000000e+00
 3.889460e+04   0.000000e+00   0.000000e+00
 3.899420e+04   0.000000e+00   0.000000e+00
 3.909380e+04   0.000000e+00   0.000000e+00
 3.919340e+04   0.000000e+00   0.000000e+00
 3.929300e+04   0.000000e+00   0.000000e+00
 3.939260e+04   0.000000e+00   0.000000e+00
 3.949220e+04   0.000000e+00   0.000000e+00
 3.959180e+04   0.000000e+00   0.000000e+00
 3.969140e+04   0.000000e+00   0.000000e+00
 3.979100e+04   0.000000e+00   0.000000e+00
 3.989060e+04   0.000000e+00   0.000000e+00
 3.999020e+04   0.000000e+00   0.000000e+00
 4.008980e+04   0.000000e+00   0.000000e+00
 4.018940e+04   0.000000e+00   0.000000e+00
 4.028900e+04   0.000000e+00   0.000000e+00
 4.038860e+04   0.000000e+00   0.000000e+00
 4.048820e+04   0.000000e+00   0.000000e+00
 4.058780e+04   0.000000e+00   0.000000e+00
 4.068740e+04   0.000000e+00   0.000000e+00
 4.078700e+04   0.000000e+00   0.000000e+00
 4.088660e+04   0.000000e+00   0.000000e+00
 4.098620e+04   0.000000e+00   0.000000e+00
 4.108580e+04   0.000000e+00   0.000000e+00
 4.118540e+04   0.000000e+00   0.000000e+00
 4.128500e+04   0.000000e+00   0.000000e+00
 4.138460e+04   0.000000e+00   0.000000e+00
 4.148420e+04   0.000000e+00   0.000000e+00
 4.158380e+04   0.000000e+00   0.000000e+00
 4.168340e+04   0.000000e+00   0.000000e+00
 4.178300e+04   0.000000e+00   0.000000e+00
 4.188260e+04   0.000000e+00   0.000000e+00
 4.198220e+04   0.000000e+00   0.000000e+00
 4.208180e+04   0.000000e+00   0.000000e+00
 4.218140e+04   0.000000e+00   0.000000e+00
 4.228100e+04   0.000000e+00   0.000000e+00
 4.238060e+04   0.000000e+00   0.000000e+00
 4.248020e+04   0.000000e+00   0.000000e+00
 4.257980e+04   0.000000e+00   0.000000e+00
 4.267940e+04   0.000000e+00   0.000000e+00
 4.277900e+04   0.000000e+00   0.000000e+00
 4.287860e+04   0.000000e+00   0.000000e+00
 4.297820e+04   0.000000e+00   0.000000e+00
 4.307780e+04   0.000000e+00   0.000000e+00
 4.317740e+04   0.000000e+00   0.000000e+00
 4.327700e+04   0.000000e+00   0.000000e+00
 4.337660e+04   0.000000e+00   0.000000e+00
 4.347620e+04   0.000000e+00   0.000000e+00
 4.357580e+04   0.000000e+00   0.000000e+00
 4.367540e+04   0.000000e+00   0.000000e+00
 4.377500e+04   0.000000e+00   0.000000e+00
 4.387460e+04   0.000000e+00   0.000000e+00
 4.397420e+04   0.000000e+00   0.000000e+00
 4.407380e+04   0.000000e+00   0.000000e+00
 4.417340e+04   0.000000e+00   0.000000e+00
 4.427300e+04   0.000000e+00   0.000000e+00
 4.437260e+04   0.000000e+00   0.000000e+00
 4.447220e+04   0.000000e+00   0.000000e+00
 4.457180e+04   0.000000e+00   0.000000e+00
 4.467140e+04   0.000000e+00   0.000000e+00
 4.477100e+04   0.000000e+00   0.000000e+00
 4.487060e+04   0.000000e+00   0.000000e+00
 4.497020e+04   0.000000e+00   0.000000e+00
 4.506980e+04   0.000000e+00   0.000000e+00
 4.516940e+04   0.000000e+00   0.000000e+00
 4.526900e+04   0.000000e+00   0.000000e+00
 4.536860e+04   0.000000e+00   0.000000e+00
 4.546820e+04   0.000000e+00   0.000000e+00
 4.556780e+04   0.000000e+00   0.000000e+00
 4.566740e+04   0.000000e+00   0.000000e+00
 4.576700e+04   0.000000e+00   0.000000e+00
 4.586660e+04   0.000000e+00   0.000000e+00
 4.596620e+04   0.000000e+00   0.000000e+00
 4.606580e+04   0.000000e+00   0.000000e+00
 4.616540e+04   0.000000e+00   0.000000e+00
 4.626500e+04   0.000000e+00   0.000000e+00
 4.636460e+04   0.000000e+00   0.000000e+00
 4.646420e+04   0.000000e+00   0.000000e+00
 4.656380e+04   0.000000e+00   0.000000e+00
 4.666340e+04   0.000000e+00   0.000000e+00
 4.676300e+04   0.000000e+00   0.000000e+00
 4.686260e+04   0.000000e+00   0.000000e+00
 4.696220e+04   0.000000e+00   0.000000e+00
 4.706180e+04   0.000000e+00   0.000000e+00
 4.716140e+04   0.000000e+00   0.000000e+00
 4.726100e+04   0.000000e+00   0.000000e+00
 4.736060e+04   0.000000e+00   0.000000e+00
 4.746020e+04   0.000000e+00   0.000000e+00
 4.755980e+04   0.000000e+00   0.000000e+00
 4.765940e+04   0.000000e+00   0.000000e+00
 4.775900e+04   0.000000e+00   0.000000e+00
 4.785860e+04   0.000000e+00   0.000000e+00
 4.795820e+04   0.000000e+00   0.000000e+00
 4.805780e+04   0.000000e+00   0.000000e+00
 4.815740e+04   0.000000e+00   0.000000e+00
 4.825700e+04   0.000000e+00   0.000000e+00
 4.835660e+04   0.000000e+00   0.000000e+00
 4.845620e+04   0.000000e+00   0.000000e+00
 4.855580e+04   0.000000e+00   0.000000e+00
 4.865540e+04   0.000000e+00   0.000000e+00
