phi5_x_lab bin centers    value    Error 
-3.912000e-03   1.888562e-03   4.603396e-04
-3.864000e-03   4.255425e-03   1.386827e-03
-3.816000e-03   1.073872e-04   7.138067e-05
-3.768000e-03   1.365169e-03   3.286457e-04
-3.720000e-03   2.630510e-03   5.703754e-04
-3.672000e-03   9.407966e-03   3.454405e-03
-3.624000e-03   7.658350e-04   2.454733e-04
-3.576000e-03   2.791611e-03   1.041924e-03
-3.528000e-03   4.582755e-03   1.237072e-03
-3.480000e-03   1.636904e-03   4.967848e-04
-3.432000e-03   1.429720e-03   5.232570e-04
-3.384000e-03   4.328452e-03   1.830999e-03
-3.336000e-03   1.820020e-03   5.179653e-04
-3.288000e-03   3.387343e-03   7.053978e-04
-3.240000e-03   6.534150e-03   2.561135e-03
-3.192000e-03   2.688519e-03   9.253275e-04
-3.144000e-03   2.649002e-03   7.727286e-04
-3.096000e-03   2.832819e-03   6.962822e-04
-3.048000e-03   3.157838e-03   8.728017e-04
-3.000000e-03   3.346901e-03   1.237279e-03
-2.952000e-03   3.165204e-03   7.693028e-04
-2.904000e-03   1.154667e-03   4.000872e-04
-2.856000e-03   9.366664e-04   3.585576e-04
-2.808000e-03   6.144833e-03   1.562824e-03
-2.760000e-03   3.016970e-03   9.196766e-04
-2.712000e-03   1.983075e-03   7.193542e-04
-2.664000e-03   1.907061e-03   8.188050e-04
-2.616000e-03   1.131492e-03   6.825469e-04
-2.568000e-03   1.487751e-04   8.137185e-05
-2.520000e-03   1.207768e-03   4.937575e-04
-2.472000e-03   2.354508e-03   6.514404e-04
-2.424000e-03   4.213527e-03   1.571283e-03
-2.376000e-03   4.471850e-04   1.841521e-04
-2.328000e-03   1.449970e-03   6.471001e-04
-2.280000e-03   1.863310e-04   8.317989e-05
-2.232000e-03   2.614993e-03   1.272498e-03
-2.184000e-03   2.825656e-03   1.150747e-03
-2.136000e-03   3.184052e-03   9.675339e-04
-2.088000e-03   6.223900e-03   1.882489e-03
-2.040000e-03   2.610973e-03   7.220479e-04
-1.992000e-03   2.186374e-04   1.079225e-04
-1.944000e-03   3.238643e-03   8.509528e-04
-1.896000e-03   3.122076e-03   7.034783e-04
-1.848000e-03   3.883039e-03   1.037418e-03
-1.800000e-03   9.825505e-04   3.152271e-04
-1.752000e-03   2.657919e-03   8.617883e-04
-1.704000e-03   1.782344e-03   6.115553e-04
-1.656000e-03   2.206982e-04   1.208846e-04
-1.608000e-03   5.458475e-03   1.638949e-03
-1.560000e-03   1.024433e-03   3.680071e-04
-1.512000e-03   1.949609e-03   6.030106e-04
-1.464000e-03   1.743049e-03   7.155799e-04
-1.416000e-03   2.689054e-04   1.498528e-04
-1.368000e-03   1.568922e-03   5.243898e-04
-1.320000e-03   3.811842e-04   1.676938e-04
-1.272000e-03   3.633897e-03   1.077008e-03
-1.224000e-03   3.305705e-03   7.546119e-04
-1.176000e-03   2.245751e-03   4.775640e-04
-1.128000e-03   5.410752e-04   2.348905e-04
-1.080000e-03   4.204580e-03   1.355865e-03
-1.032000e-03   8.316417e-04   3.556982e-04
-9.840000e-04   1.904078e-03   6.388808e-04
-9.360000e-04   2.355680e-03   6.352352e-04
-8.880000e-04   1.327700e-03   3.517017e-04
-8.400000e-04   7.474280e-04   3.297977e-04
-7.920000e-04   2.122073e-03   7.057465e-04
-7.440000e-04   2.680530e-03   7.033506e-04
-6.960000e-04   2.044707e-03   4.165556e-04
-6.480000e-04   1.372937e-03   3.733194e-04
-6.000000e-04   6.495341e-04   3.163134e-04
-5.520000e-04   2.074643e-03   6.369130e-04
-5.040000e-04   1.606626e-03   4.744272e-04
-4.560000e-04   4.034773e-03   1.273967e-03
-4.080000e-04   3.598237e-03   9.864610e-04
-3.600000e-04   2.260935e-03   4.905097e-04
-3.120000e-04   1.611854e-03   5.362551e-04
-2.640000e-04   1.252645e-03   3.650885e-04
-2.160000e-04   5.034496e-03   2.274005e-03
-1.680000e-04   3.523946e-04   2.245878e-04
-1.200000e-04   1.351628e-03   5.430617e-04
-7.200000e-05   8.026638e-04   2.729884e-04
-2.400000e-05  -9.480132e+03   4.133958e+02
 2.400000e-05   1.267593e-03   4.646180e-04
 7.200000e-05   2.559343e-03   1.104655e-03
 1.200000e-04   2.466497e-03   6.803897e-04
 1.680000e-04   2.015979e-03   9.354338e-04
 2.160000e-04   6.075480e-05   2.715531e-05
