y5lab bin centers    value    Error 
 4.750000e-01   0.000000e+00   0.000000e+00
 4.770000e-01   0.000000e+00   0.000000e+00
 4.790000e-01   0.000000e+00   0.000000e+00
 4.810000e-01   0.000000e+00   0.000000e+00
 4.830000e-01   0.000000e+00   0.000000e+00
 4.850000e-01   0.000000e+00   0.000000e+00
 4.870000e-01   0.000000e+00   0.000000e+00
 4.890000e-01   0.000000e+00   0.000000e+00
 4.910000e-01   0.000000e+00   0.000000e+00
 4.930000e-01   0.000000e+00   0.000000e+00
 4.950000e-01   0.000000e+00   0.000000e+00
 4.970000e-01   0.000000e+00   0.000000e+00
 4.990000e-01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
