th3 bin centers    value    Error 
 6.179000e-04   0.000000e+00   0.000000e+00
 6.213000e-04   0.000000e+00   0.000000e+00
 6.247000e-04   0.000000e+00   0.000000e+00
 6.281000e-04   0.000000e+00   0.000000e+00
 6.315000e-04   0.000000e+00   0.000000e+00
 6.349000e-04   0.000000e+00   0.000000e+00
 6.383000e-04   0.000000e+00   0.000000e+00
 6.417000e-04   0.000000e+00   0.000000e+00
 6.451000e-04   0.000000e+00   0.000000e+00
 6.485000e-04   0.000000e+00   0.000000e+00
 6.519000e-04   0.000000e+00   0.000000e+00
 6.553000e-04   0.000000e+00   0.000000e+00
 6.587000e-04   0.000000e+00   0.000000e+00
 6.621000e-04   0.000000e+00   0.000000e+00
 6.655000e-04   0.000000e+00   0.000000e+00
 6.689000e-04   0.000000e+00   0.000000e+00
 6.723000e-04   0.000000e+00   0.000000e+00
 6.757000e-04   0.000000e+00   0.000000e+00
 6.791000e-04   0.000000e+00   0.000000e+00
 6.825000e-04   0.000000e+00   0.000000e+00
 6.859000e-04   0.000000e+00   0.000000e+00
 6.893000e-04   0.000000e+00   0.000000e+00
 6.927000e-04   0.000000e+00   0.000000e+00
 6.961000e-04   0.000000e+00   0.000000e+00
 6.995000e-04   0.000000e+00   0.000000e+00
 7.029000e-04   0.000000e+00   0.000000e+00
 7.063000e-04   0.000000e+00   0.000000e+00
 7.097000e-04   0.000000e+00   0.000000e+00
 7.131000e-04   0.000000e+00   0.000000e+00
 7.165000e-04   0.000000e+00   0.000000e+00
 7.199000e-04   0.000000e+00   0.000000e+00
 7.233000e-04   0.000000e+00   0.000000e+00
 7.267000e-04   0.000000e+00   0.000000e+00
 7.301000e-04   0.000000e+00   0.000000e+00
 7.335000e-04   0.000000e+00   0.000000e+00
 7.369000e-04   0.000000e+00   0.000000e+00
 7.403000e-04   0.000000e+00   0.000000e+00
 7.437000e-04   0.000000e+00   0.000000e+00
 7.471000e-04   0.000000e+00   0.000000e+00
 7.505000e-04   0.000000e+00   0.000000e+00
 7.539000e-04   0.000000e+00   0.000000e+00
 7.573000e-04   0.000000e+00   0.000000e+00
 7.607000e-04   0.000000e+00   0.000000e+00
 7.641000e-04   0.000000e+00   0.000000e+00
 7.675000e-04   0.000000e+00   0.000000e+00
 7.709000e-04   0.000000e+00   0.000000e+00
 7.743000e-04   0.000000e+00   0.000000e+00
 7.777000e-04   0.000000e+00   0.000000e+00
 7.811000e-04   0.000000e+00   0.000000e+00
 7.845000e-04   0.000000e+00   0.000000e+00
 7.879000e-04   0.000000e+00   0.000000e+00
 7.913000e-04   0.000000e+00   0.000000e+00
 7.947000e-04   0.000000e+00   0.000000e+00
 7.981000e-04   0.000000e+00   0.000000e+00
 8.015000e-04   0.000000e+00   0.000000e+00
 8.049000e-04   0.000000e+00   0.000000e+00
 8.083000e-04   0.000000e+00   0.000000e+00
 8.117000e-04   0.000000e+00   0.000000e+00
 8.151000e-04   0.000000e+00   0.000000e+00
 8.185000e-04   0.000000e+00   0.000000e+00
 8.219000e-04   0.000000e+00   0.000000e+00
 8.253000e-04   0.000000e+00   0.000000e+00
 8.287000e-04   0.000000e+00   0.000000e+00
 8.321000e-04   0.000000e+00   0.000000e+00
 8.355000e-04   0.000000e+00   0.000000e+00
 8.389000e-04   0.000000e+00   0.000000e+00
 8.423000e-04   0.000000e+00   0.000000e+00
 8.457000e-04   0.000000e+00   0.000000e+00
 8.491000e-04   0.000000e+00   0.000000e+00
 8.525000e-04   0.000000e+00   0.000000e+00
 8.559000e-04   0.000000e+00   0.000000e+00
 8.593000e-04   0.000000e+00   0.000000e+00
 8.627000e-04   0.000000e+00   0.000000e+00
 8.661000e-04   0.000000e+00   0.000000e+00
 8.695000e-04   0.000000e+00   0.000000e+00
 8.729000e-04   0.000000e+00   0.000000e+00
 8.763000e-04   0.000000e+00   0.000000e+00
 8.797000e-04   0.000000e+00   0.000000e+00
 8.831000e-04   0.000000e+00   0.000000e+00
